hhid,rgid,villid,hhLocX,hhLocY,hhElev,hhLandOwn,hhLandPlant,areaCcfp,ifCcfp,ifCcfpO
1346,134,2,379121.9474,3454470.235,660,1.816954,0.975104,1.581959824,1,1
1347,134,2,379154.7239,3454456.64,656,7.705964,7.705964,0,0,0
1348,134,2,379155.9386,3454448.154,656,4.166436,1.917014,2.598405418,1,1
1350,134,2,379045.7298,3454404.202,653,3.057746,3.057746,0,0,0
1351,134,2,379078.3555,3454719.404,687,2.551054,2.551054,0,0,0
1352,134,2,379124.173,3454445.911,656,9.787628,7.60109,1.43613611,1,1
1353,134,2,379048.9246,3454689.984,689,4.436779,3.626615,5.290081932,1,1
1354,134,2,379098.5611,3454710.419,689,3.236202,3.236202,0,0,0
1355,134,2,379039.6777,3454735.557,689,8.822344,3.684369,0,0,0
1356,134,2,379123.3779,3454701.185,689,1.656351,1.656351,0,0,0
1357,134,2,379116.6363,3454740.113,689,1.669303,0.42481,0,0,0
1359,134,2,379194.5415,3454182.137,651,2.35314,1.417373,1.457863088,1,1
1360,134,2,379311.7999,3454247.903,659,3.011105,0.688673,0,0,0
1362,134,2,379247.9743,3454182.643,658,8.582574,1.151373,0,0,0
1363,134,2,379266.5037,3454197.289,654,9.165675,9.165675,1.095514046,1,1
1365,134,2,379241.9521,3454170.01,653,5.859506,5.859506,0,0,0
1366,134,2,379196.0858,3454157.814,656,7.080709,5.562012,14.86486128,1,1
1367,134,2,379238.7269,3454200.498,660,7.978949,2.280093,0,0,0
1368,134,2,379202.518,3454405.525,659,1.387794,0,0,0,0
1369,134,2,379201.2649,3454443.154,660,3.007263,3.007263,0,0,0
1370,134,2,379210.5071,3454400.305,660,7.660679,3.368163,0,0,0
1371,134,2,379194.0444,3454452.223,660,1.840358,1.840358,0,0,0
1373,115,2,378673.7678,3454381.422,656,1.147366,1.147366,0,0,0
1374,115,2,378675.5869,3454403.754,651,7.839426,7.839426,0,0,0
1375,115,2,378714.5997,3454456.801,651,8.80414,8.80414,0,0,0
1376,115,2,378677.3953,3454465.886,652,2.621827,2.621827,0,0,0
1377,115,2,378712.6113,3454502.187,651,11.759906,8.456605,0,0,0
1378,115,2,378696.3529,3454500.351,651,5.459341,5.459341,0,0,0
1379,115,2,378628.802,3454518.43,653,2.043895,2.043895,0,0,0
1380,115,2,378473.9544,3454424.593,655,4.773213,4.773213,0,0,0
1382,115,2,378713.6821,3454465.183,648,9.592958,9.592958,0,0,0
1383,115,2,378445.1055,3454446.546,660,14.409413,7.898835,0,0,0
1384,115,2,378482.3734,3454431.074,659,1.444114,1.444114,0,0,0
1385,115,2,378056.4013,3454373.473,670,2.832495,2.832495,0,0,0
1386,115,2,377927.104,3454524.141,662,4.308021,4.308021,5.410933271,1,1
1387,115,2,378029.365,3454481.66,663,5.260325,5.260325,1.460035087,1,1
1388,115,2,378432.2847,3454433.012,658,15.045836,15.045836,0,0,0
1389,115,2,378356.3017,3454443.308,664,7.175233,7.175233,0,0,0
1390,115,2,378030.3111,3454463.69,665,2.321501,2.321501,0,0,0
1392,115,2,377955.1347,3454440.321,665,23.623437,23.623437,0,0,0
1393,115,2,378028.9026,3454412.006,667,17.020862,17.020862,0,0,0
1395,115,2,378091.207,3454455.369,667,1.88528,1.88528,0,0,0
1396,115,2,378230.6982,3454387.509,663,2.279149,2.279149,0,0,0
1398,115,2,377940.7892,3454516.246,673,15.431883,15.431883,0.859357479,1,1
1399,115,2,377980.5293,3454461.231,666,5.379392,5.379392,0,0,0
1401,115,2,377926.0251,3454534.638,660,1.24746,0,0,0,0
1402,115,2,377902.212,3454558.268,663,6.086004,3.598707,0,0,0
1403,115,2,377839.5074,3454540.782,661,18.504354,18.504354,0,0,0
1404,115,2,377836.8359,3454541.904,661,1.893585,1.893585,0,0,0
1405,115,2,377980.1266,3454457.202,666,7.01121,7.01121,0,0,0
1406,115,2,377823.5582,3454520.876,672,0.956157,0.956157,0,0,0
1407,115,2,378666.4555,3454360.752,651,1.600792,1.600792,0,0,0
1408,115,2,378447.3985,3454391.73,665,0.939034,0.939034,0,0,0
1410,115,2,377860.1814,3454521.861,663,7.857993,7.857993,0,0,0
1411,115,2,378030.7662,3454466.372,673,1.625053,1.625053,1.803493093,1,1
1412,115,2,378054.1498,3454500.44,664,1.665944,1.665944,0,0,0
1413,115,2,378042.805,3454467.668,675,1.186323,1.186323,0,0,0
1414,127,2,378457.4319,3455332.838,720,12.179987,12.179987,3.834139753,1,1
1415,127,2,378698.8083,3455129.445,704,1.697683,1.697683,0,0,0
1416,127,2,378401.7792,3455248.516,720,1.167882,1.167882,4.08229573,1,1
1417,127,2,377884.3216,3455067.207,665,11.137094,7.423113,11.75182398,1,1
1418,127,2,378062.1141,3454910.226,666,1.992457,1.992457,2.003563552,1,1
1419,127,2,378094.0003,3455118.14,687,3.063749,3.063749,0,0,0
1420,127,2,378015.5609,3455125.566,682,11.038014,9.045383,0,0,0
1421,127,2,377865.6992,3455142.814,668,17.160009,10.402992,3.430361429,1,1
1423,127,2,378425.3434,3455343,732,12.858198,7.537282,7.512217172,1,1
1424,127,2,378045.416,3454909.833,672,4.389153,4.389153,16.19509747,1,1
