pid,hhid,rgid,villid,relateHead,ifFemale,age,ifMarried,numChild,ifCcfp,ifCcfpO
3019,1346,134,2,3,0,35,1,-99,1,1
3020,1346,134,2,32,1,34,1,0,1,1
3021,1346,134,2,1,0,59,1,-99,1,1
3022,1346,134,2,2,1,59,1,1,1,1
3023,1347,134,2,2,1,50,1,1,0,0
3024,1347,134,2,1,0,55,1,-99,0,0
3025,1347,134,2,3,0,24,0,-99,0,0
3026,1347,134,2,53,0,6,0,-99,0,0
3027,1348,134,2,1,0,40,1,-99,1,1
3028,1348,134,2,5,0,37,1,-99,1,1
3029,1348,134,2,2,1,37,1,2,1,1
3030,1348,134,2,53,1,9,0,0,1,1
3031,1348,134,2,3,0,8,0,-99,1,1
3032,1348,134,2,3,1,12,0,0,1,1
3033,1350,134,2,3,0,34,0,-99,0,0
3034,1350,134,2,1,0,59,1,-99,0,0
3035,1351,134,2,1,0,42,1,-99,0,0
3036,1351,134,2,2,1,35,1,1,0,0
3037,1351,134,2,4,1,76,1,3,0,0
3038,1351,134,2,52,1,55,1,1,0,0
3039,1351,134,2,53,1,20,0,0,0,0
3040,1351,134,2,3,0,14,0,-99,0,0
3041,1352,134,2,1,1,75,1,1,1,1
3042,1353,134,2,3,1,35,0,0,1,1
3043,1353,134,2,1,0,67,1,-99,1,1
3044,1353,134,2,2,1,59,1,1,1,1
3045,1354,134,2,1,0,76,1,-99,0,0
3046,1354,134,2,2,1,68,1,3,0,0
3047,1355,134,2,3,0,8,0,-99,0,0
3048,1355,134,2,1,0,41,1,-99,0,0
3049,1355,134,2,2,1,37,1,2,0,0
3050,1355,134,2,3,1,14,0,0,0,0
3051,1356,134,2,6,0,7,0,-99,0,0
3052,1356,134,2,3,0,41,1,-99,0,0
3053,1356,134,2,32,1,39,1,1,0,0
3054,1356,134,2,3,1,36,1,2,0,0
3055,1356,134,2,1,0,71,1,-99,0,0
3056,1356,134,2,6,1,12,0,0,0,0
3057,1356,134,2,2,1,64,1,2,0,0
3058,1357,134,2,1,0,40,1,-99,0,0
3059,1357,134,2,2,1,36,1,2,0,0
3060,1357,134,2,3,1,12,0,0,0,0
3061,1357,134,2,3,0,4,0,-99,0,0
3062,1359,134,2,1,0,50,1,-99,1,1
3063,1359,134,2,44,0,95,1,-99,1,1
3064,1359,134,2,2,1,52,1,2,1,1
3065,1359,134,2,3,0,28,0,-99,1,1
3066,1359,134,2,3,0,23,0,-99,1,1
3067,1360,134,2,2,1,47,1,2,0,0
3068,1360,134,2,1,0,44,1,-99,0,0
3069,1360,134,2,3,1,21,0,0,0,0
3070,1360,134,2,3,0,15,0,-99,0,0
3071,1362,134,2,1,0,42,1,-99,0,0
3072,1362,134,2,2,1,41,1,1,0,0
3073,1362,134,2,4,0,76,1,-99,0,0
3074,1362,134,2,3,0,18,0,-99,0,0
3075,1363,134,2,32,1,44,1,2,1,1
3076,1363,134,2,6,0,13,0,-99,1,1
3077,1363,134,2,1,0,71,1,-99,1,1
3078,1363,134,2,2,1,70,1,1,1,1
3079,1363,134,2,6,1,19,0,0,1,1
3080,1365,134,2,2,1,70,1,1,0,0
3081,1365,134,2,1,0,85,1,-99,0,0
3082,1365,134,2,3,1,51,1,0,0,0
3083,1366,134,2,6,0,13,0,-99,1,1
3084,1366,134,2,3,0,39,1,-99,1,1
3085,1366,134,2,32,1,35,1,1,1,1
3086,1366,134,2,1,0,67,1,-99,1,1
3087,1366,134,2,2,1,64,1,1,1,1
3088,1367,134,2,2,1,53,1,1,0,0
3089,1367,134,2,3,0,24,0,-99,0,0
3090,1367,134,2,1,0,55,1,-99,0,0
3091,1368,134,2,1,0,43,0,-99,0,0
3092,1368,134,2,4,1,73,1,3,0,0
3093,1369,134,2,3,0,43,1,-99,0,0
3094,1369,134,2,32,1,41,1,2,0,0
3095,1369,134,2,1,0,70,1,-99,0,0
3096,1369,134,2,6,1,15,0,0,0,0
