plid,centerX,centerY,area,code,dry,elev,slope,aspect,twi,distCcfp,distEwfp,distEwfpO,hhid,rgid,villid,geoDist,ifCcfp,ifCcfpO
13,379702.7841,3457838.032,2.722205,69,1,860,6.658,153.617,8.703,60.649039,4.36563,4.36563,1593,132,2,170.8709751,0,0
14,379782.676,3457780.214,1.978773,60,0,858,8.421,231.991,7.405,40.250207,4.535871,4.535871,1589,132,2,171.6972094,1,1
16,376755.3819,3457629.058,0.805705,60,0,780,4.641,170.638,12.732,12.842228,0,0,1705,113,2,240.2862564,1,1
18,377118.6201,3457348.382,2.210678,69,1,760,4.508,221.468,12.041,159.390031,28.997464,28.997464,1730,114,2,139.3361004,1,1
20,378355.8588,3457333.156,0.414678,60,0,889,12.573,88.221,7.196,354.544968,5.487863,5.487863,1902,129,2,3974.437911,0,0
25,374473.1528,3457248.374,0.950473,69,1,962,16.501,186.839,10.607,86.316738,6.28664,6.28664,1895,129,2,64.43598172,0,0
28,374319.645,3456992.717,1.315643,61,1,937,5.587,159.891,0.001,74.923116,10.801129,10.801129,1898,129,2,190.935944,0,0
31,374404.4948,3457078.619,1.380466,61,1,943,8.529,202.486,5.584,80.626022,5.680075,5.680075,1895,129,2,152.8246268,0,0
32,374584.2676,3457042.31,0.541134,60,0,955,11.266,241.105,8.117,64.722392,4.122579,4.122579,1901,129,2,104.0903545,0,0
35,378602.6127,3456845.458,0.409661,61,1,769,7.926,152.471,10.246,117.264913,4.532797,4.532797,1444,133,2,1737.678022,1,1
37,379129.952,3456905.677,0.92505,61,1,780,10.747,244.158,7.616,427.599311,0.680155,0.680155,1574,112,2,51.83773341,0,0
39,374265.5449,3456922.918,3.073828,60,0,940,2.334,68.244,13.139,119.281753,6.084677,6.084677,1895,129,2,301.7277651,0,0
46,378414.6465,3456732.17,3.587747,60,0,798,8.993,92.351,7.75,99.511546,0.888662,0.888662,1558,125,2,360.2856846,0,0
50,377059.1075,3456334.089,2.713536,60,0,733,10.602,312.389,8.527,844.383771,4.792039,4.792039,1721,114,2,242.0409384,0,0
60,377957.1266,3456433.819,1.096286,61,1,739,11.604,175.178,8.99,608.191368,2.829495,2.829495,1607,132,2,2067.97894,0,0
84,377316.979,3456142.468,1.608451,69,0,725,10.399,205.205,7.253,901.207894,5.520217,5.520217,1779,117,2,394.8760407,0,0
90,375182.8479,3455945.722,2.472652,69,0,827,5.484,245.768,9.522,68.164347,3.05266,3.05266,1944,116,2,474.6938501,0,0
93,373990.7376,3455770.89,4.410469,60,0,812,9.405,250.441,0.001,268.983787,0,0,1961,121,2,287.6255548,0,0
94,376218.2029,3455856.801,0.818387,69,0,809,12.619,114.5,7.679,350.990812,3.370859,3.370859,1579,112,2,2799.352793,0,0
95,375258.8819,3455832.982,1.28516,69,1,833,8.5,189.725,7.023,124.201354,4.027294,4.027294,1948,116,2,399.2181883,0,0
103,375536.2134,3455634.248,1.229904,69,1,838,13.417,234.907,6.523,185.198708,0.965492,0.965492,1430,127,2,3162.452031,0,0
